compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id
VBVMGRCNUWHODZ-UHFFFAOYSA-N,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1cccc(Br)c1,VBVMGRCNUWHODZ-UHFFFAOYSA-N,C36H36BrN3O3,638.606,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3752547
VPHZLIOARSIWRC-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(OC)c(F)c3)cnc2SCc2ccccc2)CC1,VPHZLIOARSIWRC-UHFFFAOYSA-N,C29H36FN3OS,493.692,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA306
VVBRNCOBMAIGNK-GAZRNQOFSA-N,COc1ccc(/C=C2/S/C(=N/N=C/c3ccccc3O)NC2=O)cc1,VVBRNCOBMAIGNK-GAZRNQOFSA-N,C18H15N3O3S,353.403,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL4560563
WDZUWGIXBFSGCL-UHFFFAOYSA-N,CN(C)CCNCc1cc2c3nc1SCC(=CC=CC=CC=2)C=CC=3,WDZUWGIXBFSGCL-UHFFFAOYSA-N,C21H25N3S,351.519,input_only,source_structure_not_resolved,False,FRAUNFELTER2023-4
WEEJBHMAXXLXSK-SFHVURJKSA-N,O=c1cc(Cc2cccc3ccccc23)c(C2CC2)c2n1[C@H](c1nnn[nH]1)CS2,WEEJBHMAXXLXSK-SFHVURJKSA-N,C22H19N5OS,401.495,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL402124
WFBMDLWJDONKOF-UHFFFAOYSA-N,Brc1cnc(SCc2ccccc2)c(CNCc2ccc(CN3CCCC3)cc2)c1,WFBMDLWJDONKOF-UHFFFAOYSA-N,C25H28BrN3S,482.491,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA293
WGWNRWFMNFHBIY-SFHVURJKSA-N,O=C(NO)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,WGWNRWFMNFHBIY-SFHVURJKSA-N,C22H20N2O3S,392.48,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL402123
WIDVPHSBAXLSEU-LJQANCHMSA-N,COC(=O)[C@@H](Cc1ccc(O)cc1)NCc1cc2ccccc2nc1SC,WIDVPHSBAXLSEU-LJQANCHMSA-N,C21H22N2O3S,382.485,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,FRAUNFELTER2023-1
WIIZWVCIJKGZOK-RKDXNWHRSA-N,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,WIIZWVCIJKGZOK-RKDXNWHRSA-N,C11H12Cl2N2O5,323.132,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHLORAMPHENICOL
WYSMMAHMVVNKNU-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3c(OC)c(OC)c(OC)cc3nc2SCc2ccccc2)CC1,WYSMMAHMVVNKNU-UHFFFAOYSA-N,C29H39N3O3S,509.716,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA251
XDWSRXVAROERCY-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccc(F)cc3F)cnc2SCc2ccccc2)CC1,XDWSRXVAROERCY-UHFFFAOYSA-N,C26H30F2N4S,468.617,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA274
XQBWCRMKNUAPEC-UHFFFAOYSA-N,Cc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1,XQBWCRMKNUAPEC-UHFFFAOYSA-N,C27H34N4S,446.664,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA280
YEMLSUARMQTHJO-UHFFFAOYSA-N,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,YEMLSUARMQTHJO-UHFFFAOYSA-N,C29H31N3S,453.655,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA249
YLGXQCGDJLLDBJ-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(Br)cnc2SCc2ccccc2)CC1,YLGXQCGDJLLDBJ-UHFFFAOYSA-N,C20H27BrN4S,435.435,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA271
ZGIDBFBSYKRZQE-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccccc3)cnc2SCc2ccccc2)CC1,ZGIDBFBSYKRZQE-UHFFFAOYSA-N,C28H35N3S,445.676,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA304
ZMCMUCKOPVYNJN-UHFFFAOYSA-N,Fc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)c(F)c1,ZMCMUCKOPVYNJN-UHFFFAOYSA-N,C31H31F2N3S,515.673,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA299
ZPDBJZFBTVCYMH-UHFFFAOYSA-N,CN(C)c1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,ZPDBJZFBTVCYMH-UHFFFAOYSA-N,C33H44N4S,528.81,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA303
ZZMUKOHGPLYJED-UHFFFAOYSA-N,CCN(CC)Cc1cc(N(c2cc(C)nc3cc(Cl)ccc23)S(=O)(=O)c2ccc(Cl)cc2)ccc1O,ZZMUKOHGPLYJED-UHFFFAOYSA-N,C27H27Cl2N3O3S,544.504,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3402627
