compound_id,canonical_smiles,target,protein_id,organism,activity_type,activity_value,unit,dataset_layer,data_source,reference,label_confidence
WSA264,CCN1CCC=NC(SCc2ccccc2)=C2C=CC(CCNC2)CC1,whole cell,,Acinetobacter baumannii ATCC 17978,MIC,>128,ug/mL,layer_2_atp_synthase_specific,Literature (ACS Omega 2025),"DOI=10.1021/acsomega.5c06380 | year=2025 | title=Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | assay_note=broth microdilution, CLSI",medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4587 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4665 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,3.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4666 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4467 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,3.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4668 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii CIP70-10 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,16.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii AYE by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4676 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4587 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,12.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4665 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4666 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4467 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4668 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii CIP70-10 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,192.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4676 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.094,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4587 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4665 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.38,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4666 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4467 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.38,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4668 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.125,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii CIP70-10 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,24.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4676 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4454 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,0.75,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4587 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,16.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4665 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4666 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4467 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4668 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,2.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii CIP70-10 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,64.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii AYE by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,12.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4675 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,96.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4676 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,8.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4454 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4587 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,64.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4665 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,6.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4666 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,4.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4467 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,8.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4668 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,6.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii CIP70-10 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,96.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii AYE by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,96.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against multidrug-resistant Acinetobacter baumannii BM4675 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1572,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,16.0,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4454 by antimicrobial susceptibility assay,medium_source_traceable_unverified
CHEMBL1572,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,whole-cell antibacterial activity (Acinetobacter baumannii),CHEMBL614425,Acinetobacter baumannii,MIC,1.5,ug/mL,layer_1_general_antibacterial,ChEMBL,DOI=10.1128/aac.01037-09 | year=2010 | title=Screening and quantification of the expression of antibiotic resistance genes in Acinetobacter baumannii with a microarray. | assay_note=Antibacterial activity against Acinetobacter baumannii BM4587 by antimicrobial susceptibility assay,medium_source_traceable_unverified
